image_path,colors,predictions
Nantes_16_06+146.jpg,"[[0.2883574  0.2883574  0.2883574 ]
 [0.43149731 0.43149731 0.43149731]
 [0.07247083 0.07247083 0.07247083]
 [0.59149295 0.59149295 0.59149295]
 [0.18129965 0.18129965 0.18129965]]","['spotlight', 'matchstick', 'digital_clock']"
Nantes_16_06+162.jpg,"[[0.06113338 0.0990594  0.14661769]
 [0.60390803 0.51316457 0.40594106]
 [0.13904796 0.5895281  0.83723234]
 [0.47659607 0.34154625 0.18518264]
 [0.17999228 0.2446451  0.31257518]]","['spotlight', 'matchstick', 'digital_clock']"
Nantes_16_06+184.jpg,"[[0.73814484 0.66196243 0.57017758]
 [0.04758618 0.0752438  0.04402384]
 [0.65160148 0.54374688 0.4211169 ]
 [0.23127346 0.24732394 0.2405091 ]
 [0.78646978 0.75127622 0.71458571]]","['spotlight', 'digital_clock', 'matchstick']"
Nantes_16_06+194.jpg,"[[0.0356766  0.1061841  0.09242315]
 [0.95526213 0.9003813  0.83906697]
 [0.45761927 0.41227376 0.34720439]
 [0.18938779 0.23141999 0.2077957 ]
 [0.64869606 0.59942334 0.53467841]]","['spotlight', 'theater_curtain', 'digital_clock']"
Nantes_16_06+274.jpg,"[[0.05688208 0.07918524 0.10509766]
 [0.36348741 0.36387203 0.36531358]
 [0.10381223 0.36942197 0.66503389]
 [0.5921417  0.59396932 0.59448252]
 [0.1107519  0.16564176 0.21898907]]","['spotlight', 'digital_clock', 'matchstick']"
urbain+041.jpg,"[[0.60260484 0.65458796 0.72304096]
 [0.22428883 0.27016803 0.30434028]
 [0.41501862 0.45373266 0.49072812]
 [0.09221824 0.12456768 0.10448135]
 [0.24084655 0.35768611 0.58358222]]","['spotlight', 'digital_clock', 'theater_curtain']"
golden_cube-2.jpg,"[[0.42406988 0.33742318 0.25153446]
 [0.39693063 0.59967428 0.73237713]
 [0.83526231 0.63862931 0.46296163]
 [0.14693928 0.29674406 0.43005559]
 [0.06630822 0.11726871 0.19440968]]","['spotlight', 'digital_clock', 'theater_curtain']"
leaf2.jpg,"[[0.16779588 0.30469355 0.20331679]
 [0.51431085 0.67020554 0.58713351]
 [0.94035699 0.86183161 0.74196277]
 [0.31599381 0.53333616 0.43333293]
 [0.19211624 0.43336666 0.33205349]]","['spotlight', 'theater_curtain', 'digital_clock']"
Paris_25-06+105.jpg,"[[0.11737007 0.31827939 0.4276897 ]
 [0.5218143  0.74437491 0.85693228]
 [0.65303413 0.45515868 0.14131811]
 [0.07192037 0.07251521 0.05827953]
 [0.1340495  0.1430125  0.12115983]]","['spotlight', 'digital_clock', 'theater_curtain']"
Paris_25-06+275.jpg,"[[0.31155304 0.31270242 0.28402302]
 [0.12557801 0.141217   0.12048826]
 [0.74498999 0.60153626 0.42097569]
 [0.46111572 0.31285169 0.13983093]
 [0.6043674  0.44447324 0.26185253]]","['spotlight', 'matchstick', 'digital_clock']"
things+028.jpg,"[[0.05724955 0.13442661 0.1462093 ]
 [0.64171918 0.45478771 0.64184617]
 [0.78005579 0.58712444 0.77601868]
 [0.27894049 0.24099706 0.32942764]
 [0.47607086 0.34305396 0.48917504]]","['spotlight', 'digital_clock', 'matchstick']"
things+032.jpg,"[[0.22511723 0.33928516 0.48430591]
 [0.70896563 0.78817551 0.87375863]
 [0.06862701 0.12116295 0.18126362]
 [0.52447279 0.63476985 0.75837692]
 [0.36468378 0.49531412 0.65160101]]","['spotlight', 'digital_clock', 'matchstick']"
water.jpg,"[[0.80028757 0.91647093 0.55864997]
 [0.54591561 0.60170435 0.02384431]
 [0.67257568 0.72094078 0.10036973]
 [0.43882308 0.48659313 0.0094683 ]
 [0.70655437 0.79855276 0.32540774]]","['spotlight', 'matchstick', 'digital_clock']"
weekend_BFS+052.jpg,"[[0.21189079 0.40578208 0.65309605]
 [0.10814114 0.19958698 0.27284377]
 [0.67725446 0.56988559 0.38156542]
 [0.04721222 0.07319467 0.09885445]
 [0.55000919 0.43634413 0.25883713]]","['spotlight', 'matchstick', 'digital_clock']"
weekend_BFS+062.jpg,"[[0.16833142 0.244985   0.38852807]
 [0.06300877 0.06432    0.07074434]
 [0.38923036 0.49577516 0.65696197]
 [0.1298652  0.15181679 0.18990809]
 [0.26183219 0.3470741  0.51654826]]","['spotlight', 'matchstick', 'digital_clock']"
